default,111698.java,46,85,default,23311.java,51,91,0.995908,y,295
default,111698.java,87,141,default,64845.java,93,147,1,y,
default,135319.java,18,44,default,64702.java,18,44,1,y,
default,15247.java,18,55,default,16109.java,18,55,1,y,
default,15247.java,89,101,default,52984.java,89,101,1,y,
default,16109.java,18,55,default,52984.java,18,55,1,y,
sample,getMACAddresInStandardForm.java,9,25,sample,getMACAddresInStandardForm.java,27,39,0.901937,y,
selected,1016494.java,41,60,selected,474334.java,36,52,0.93613,y,
selected,102850.java,54,66,selected,1805945.java,51,62,0.982571,y,
selected,1029559.java,13,30,selected,2444706.java,13,30,1,y,
selected,1029559.java,13,30,selected,258989.java,13,30,1,y,
selected,1029559.java,54,66,selected,613000.java,54,66,1,y,
selected,1029559.java,69,89,selected,1083858.java,77,98,0.989497,y,
selected,1029559.java,69,89,selected,1181096.java,69,89,1,y,
selected,1029559.java,91,104,selected,234194.java,129,142,1,y,
selected,1029559.java,91,104,selected,2372136.java,113,126,1,y,
selected,1029559.java,91,104,selected,278332.java,123,136,1,y,
selected,1029559.java,91,104,selected,358730.java,81,94,1,y,
selected,1029839.java,14,31,selected,2397323.java,12,29,0.990437,y,
selected,1029839.java,127,140,selected,142817.java,88,101,1,y,
selected,1035652.java,13,30,selected,1768233.java,13,30,1,y,
selected,1035652.java,13,30,selected,1805945.java,12,29,1,y,
selected,1035652.java,60,74,selected,1061314.java,54,66,0.97011,y,
selected,1035652.java,99,114,selected,1134793.java,84,97,0.988251,y,
selected,1035652.java,99,114,selected,1967310.java,84,97,0.988251,y,
selected,1035652.java,99,114,selected,2230700.java,84,97,0.988251,y,
selected,1057347.java,101,116,selected,2104963.java,101,116,1,y,
selected,1061314.java,32,51,selected,1181096.java,69,89,0.945031,y,
selected,1061314.java,69,89,selected,1923275.java,69,89,1,y,
selected,1061314.java,91,106,selected,2126890.java,102,114,0.970869,y,
selected,1061314.java,91,106,selected,613000.java,91,106,1,y,
selected,1063382.java,12,29,selected,1284359.java,13,30,1,y,
selected,1063382.java,49,60,selected,258989.java,52,63,0.963687,y,
selected,1063382.java,49,60,selected,580159.java,51,62,1,y,
selected,1063382.java,81,94,selected,1592236.java,91,104,1,y,
selected,1068797.java,81,97,selected,408195.java,93,111,0.902238,y,
selected,10759.java,154,172,selected,1295903.java,54,72,0.955214,y,
selected,1083858.java,32,57,selected,2673493.java,81,102,0.915006,y,
selected,1083858.java,60,74,selected,2444706.java,58,72,1,y,
selected,1101490.java,256,270,selected,1101490.java,304,318,0.97264,y,
